primary_breed,count,share_of_licensed_dogs
Bully American - XL,6,0.02%
"Terrier, Lakeland",6,0.02%
Barbet,6,0.02%
"Terrier, Glen of Imaal",5,0.02%
Canaan,5,0.02%
"Terrier, Miniature Bull",5,0.02%
"Terrier, Kerry Blue",5,0.02%
"Coonhound, American English",5,0.02%
Karelian Bear Dog,5,0.02%
"Terrier, Sealyham",5,0.02%
Pharaoh Hound,5,0.02%
"Schnauzer, Giant",5,0.02%
Mexican Hairless,4,0.02%
Briard,4,0.02%
Puli,4,0.02%
German Spitz,4,0.02%
American White Shepherd,4,0.02%
"Terrier, Bedlington",4,0.02%
"Terrier, Patterdale",4,0.02%
Spanish Water Dog,4,0.02%
Bearded Collie,4,0.02%
Afghan Hound,4,0.02%
American Red Heeler,4,0.02%
Bolognese,4,0.02%
Affenpinscher,4,0.02%
"Terrier, American Hairless",4,0.02%
"Vizsla, Wire Haired",4,0.02%
Feist,4,0.02%
Kooikerhondje,4,0.02%
Spinone Italiano,4,0.02%
Braque Francais Pyrenees,3,0.01%
"Spaniel, Field",3,0.01%
American Indian Dog,3,0.01%
Podenco Gallego,3,0.01%
"Spaniel, French",3,0.01%
Bracco Italiano,3,0.01%
American Bullnese,3,0.01%
Beauceron,3,0.01%
"Terrier, Black Russian",3,0.01%
Harrier,3,0.01%
Portuguese Podengo,3,0.01%
"Terrier, American Crested Sand",3,0.01%
Pyrenean Shepherd,3,0.01%
Cirneco dell Etna,3,0.01%
"Munsterlander, Large",3,0.01%
Central Asian Shepherd Dog,3,0.01%
Picardy Sheepdog,3,0.01%
Stabyhoun,2,0.01%
"Griffon Vendeen, Petit Basset",2,0.01%
"Foxhound, English",2,0.01%
Shiloh Shepherd,2,0.01%
Norwegian Lundehund,2,0.01%
Kai Ken,2,0.01%
Shikoku,2,0.01%
Komondor,2,0.01%
Boerboel,2,0.01%
"Deerhound, Scottish",2,0.01%
Abruzzese Mastiff,2,0.01%
"Griffon Vendeen, Grand Basset",2,0.01%
