year,event,source_title,source_url
1999,Reported beating death in Lower Kinnear,Seattle Weekly - Ruff Trade,https://www.seattleweekly.com/news/ruff-trade/
2000,Kinnear excluded from $198M Pro Parks Levy,Seattle Weekly - Ruff Trade,https://www.seattleweekly.com/news/ruff-trade/
2003,Second reported beating death Lower Kinnear,Seattle Weekly - Ruff Trade,https://www.seattleweekly.com/news/ruff-trade/
2007,New dog run approved as 12th OLA; funding TBD; encampments already present,Seattle Weekly - Ruff Trade,https://www.seattleweekly.com/news/ruff-trade/
2008,City clears encampment; multiple garbage trucks of debris; SPR 'we try to look the other way' quote,Seattle Times - Clearing Queen Anne Hill encampments,https://www.seattletimes.com/seattle-news/clearing-queen-anne-hill-homeless-encampments-is-big-job/
2020,Dog owner reviews note encampment safety concerns along access path,Aussiedoodle Adventures blog,https://aussiedoodleadventures.com/2020/12/25/kinnear-off-leash-dog-park/
2023,Hidden encampment network identified; SPR request for structure removal unanswered,Fix Homelessness,https://fixhomelessness.org/2023/hidden-encampment-network-in-seattles-forests/
2025-04,City sweep clears encampment; tents reappear within days,KOMO News April 2025,https://komonews.com/news/local/city-clears-homeless-camp-in-seattles-kinnear-park-but-tents-reappear-within-days-drugs-unified-care-team-we-heart-seattle-andrea-suarez
2025-05,Memorial Day cleanup: ~100 volunteers remove ~10000 lbs of trash,KOMO News May 27 2025,https://komonews.com/news/local/we-heart-seattle-cleans-kinnear-park-with-help-from-former-homeless-volunteers-tents-drugs-fires-fentanyl-services-recovery
