ola_name,latitude,longitude,status,expected_open,funding_source,notes,map_note,provenance
West Seattle Stadium,47.5596,-122.3731,In design (90% CDs),Winter 2028,Park District Cycle 2 capital,One of two new OLAs from 2023 Expansion Study,"In design; bid late 2026, construction spring 2027, completion winter 2028 (SPR, Jul 2026).",sourced: SPR Engage project page updated 2026-07-29 (archived sources/spr-ola-project-status-2026.md); West Seattle Blog 2026-03-24 quoting SPR gave Fall 2027
Othello Playground,47.5414,-122.2745,In design (60% CDs),Fall 2027,Park District Cycle 2 capital,One of two new OLAs from 2023 Expansion Study,"In design; bid late 2026, construction late 2026/early 2027, completion fall 2027 (SPR, Apr 2026).",sourced: SPR project page updated 2026-04-03 (archived sources/spr-ola-project-status-2026.md)
Smith Cove Park,47.6344,-122.3843,Planning,Unknown,Prior cycle planning,Pre-dates 2023 Expansion Study,Planning phase.,sourced: prior-cycle SPR planning docs; status/date authoritative on SPR side
Georgetown Flume,47.5421,-122.3159,Planning,Unknown,Prior cycle planning,Pre-dates 2023 Expansion Study,Planning phase.,sourced: prior-cycle SPR planning docs; status/date authoritative on SPR side
South Park Community Center,47.5297,-122.3214,Planning,Unknown,Prior cycle planning,Pre-dates 2023 Expansion Study,Planning phase.,sourced: prior-cycle SPR planning docs; status/date authoritative on SPR side
Ravenna Park,47.6688,-122.3057,Design-only funded,Construction unfunded,Park District Cycle 2 design only,Needs additional funding beyond Cycle 2,Design-only funded; construction unfunded.,sourced: prior-cycle SPR planning docs; status/date authoritative on SPR side
