park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
YESLER TERRACE PARK,2,0,,47.60124,-122.320899,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CHARLES RICHEY SR VIEWPOINT,2,0,,47.572551,-122.413914,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
INTERLAKEN PARK,2,0,,47.636271,-122.30838,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
UNION BAY NATURAL AREA,2,0,,47.656689,-122.29262,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
30TH AVE W END,2,0,,47.631528,-122.39577,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SPRUCE STREET MINI PARK,2,0,,47.603085,-122.304634,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
FAUNTLEROY PARK,1,1,1.0,47.519187,-122.382967,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SEVEN HILLS PARK,2,0,,47.617896,-122.311808,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
URSULA JUDKINS VIEWPOINT,0,2,0.0,47.632046,-122.390218,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
FREMONT CANAL PARK,2,0,,47.649918,-122.353716,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JOE BLOCK PARK,2,0,,47.583691,-122.369954,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LONGFELLOW CREEK GREENSPACE,1,0,,47.566084,-122.367067,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
