park,year,dlp_only,citations
E C Hughes Playfield,2021,True,1
E C Hughes Playground,2019,True,1
E C Hughes Playground,2020,True,1
E C Hughes Playground,2024,True,1
E Harrison St Shoreline Street End Park,2025,False,3
E Queen Anne Playfield,2015,True,1
E. C. Hughes Playground,2019,True,1
E.C. Hughes Playground,2015,True,1
E.C. Hughes Playground,2016,True,1
E.C. Hughes Playground,2017,True,2
E.C. Hughes Playground,2018,True,7
E.C. Hughes Playground,2019,True,1
E.C. Hughes Playground,2020,True,1
E.C. Hughes Playground,2021,False,1
E.C. Hughes Playground,2021,True,4
E.C. Hughes Playground,2024,True,1
East Montlake Park,2021,True,1
East Queen Anne Playfield,2016,True,1
East Queen Anne Playfield,2018,True,1
East Queen Anne Playfield,2019,True,3
East Queen Anne Playfield,2024,False,1
East Queen Anne Playground,2016,True,2
East Queen Anne Playground,2019,True,5
East Queen Anne Playground,2022,True,1
East Queen Anne Playground,2023,True,1
East Queen Anne Playground,2024,False,2
East Queen Anne Playground,2024,True,9
East Queen Anne Playground,2025,False,1
East Queen Anne Playground,2025,True,1
Eastlake Boulodrome Park,2019,True,1
Emma Schmitz Park,2016,True,1
Ercolini Park,2019,True,1
Evergreen Washelli Funeral Home and Cemetery,2023,False,1
Fairmont Playfield,2019,True,1
Fairmount Park,2018,True,10
Fairmount Park,2019,False,3
Fairmount Park,2019,True,14
Fairmount Park,2020,False,1
Fairmount Park,2020,True,4
Fairmount Park,2021,False,1
Fairmount Park,2021,True,7
Fairmount Park,2023,True,2
Fairmount Park,2025,True,1
Fauntleroy Park,2023,True,2
Fauntleroy Park,2024,True,1
Ferdinand St Park,2019,True,1
Ferdinand Street Boat Launch Park,2019,True,2
Freeway Park,2017,True,2
Froula Park,2020,True,1
Froula Park,2024,True,1
Froula Park,2025,True,1
Froula Playground,2016,True,2
Froula Playground,2019,False,3
Froula Playground,2019,True,7
Froula Playground,2024,False,1
Froula Playground,2024,True,4
G.A.R. Cemetary,2016,True,1
GAR Cemetary,2016,True,1
GAR Cemetary Park,2016,True,5
GAR Cemetary Park,2017,True,1
GAR Cemetery,2021,True,1
GAR Park,2015,True,2
GAR Park,2017,True,3
GAR Park,2021,True,1
GAR cemetery,2019,True,1
Garfield Playfield,2017,True,3
Garfield Playfield,2021,False,1
Garfield Playfield,2021,True,1
Gas Works Park,2016,True,4
Gas Works Park,2017,True,7
Gas Works Park,2018,True,2
Gas Works Park,2019,True,3
Gas Works Park,2020,True,2
Gas Works Park,2022,False,1
Gas Works Park,2022,True,2
Gas Works Park,2024,False,1
Gas Works Park,2024,True,5
Gasworks Park,2015,True,5
Gasworks Park,2018,True,4
Genesee,2019,False,2
Genesee,2019,True,4
Genesee Park,2015,True,2
Genesee Park,2016,True,15
Genesee Park,2017,True,14
Genesee Park,2018,True,80
Genesee Park,2019,False,2
Genesee Park,2019,True,20
Genesee Park,2020,False,1
Genesee Park,2020,True,2
Genesee Park,2021,True,2
Genesee Park,2022,True,2
Genesee Park,2023,True,4
Genesee Park,2024,False,1
Genesee Park,2024,True,7
Genesee Park,2025,True,4
Genesee Playfield,2016,True,5
Genesee Playfield,2018,True,2
Genesee Playfield,2020,True,1
Genessee Park,2019,True,4
Genessee Park,2021,True,2
Genessee Park and Playfield,2020,True,1
Gennese Dog Park,2019,True,4
Georgetown Playfield,2017,True,4
Georgetown Playfield,2018,True,2
Georgetown Playfield,2020,True,2
Georgetown Playfield,2023,True,1
Gillman Playground,2017,True,3
Gilman Playground,2015,True,4
Gilman Playground,2016,True,16
Gilman Playground,2017,True,13
Gilman Playground,2018,True,18
Gilman Playground,2019,False,1
Gilman Playground,2019,True,17
Gilman Playground,2020,True,6
Gilman Playground,2021,False,1
Gilman Playground,2021,True,19
Gilman Playground,2023,True,10
Gilman Playground,2024,False,2
Gilman Playground,2024,True,17
Gilman Playground,2026,True,1
Golden Garden Parks,2019,True,1
Golden Gardens Park,2015,True,14
Golden Gardens Park,2016,True,34
Golden Gardens Park,2017,True,10
Golden Gardens Park,2018,True,50
Golden Gardens Park,2019,False,8
Golden Gardens Park,2019,True,63
Golden Gardens Park,2020,True,3
Golden Gardens Park,2021,False,4
Golden Gardens Park,2021,True,17
Golden Gardens Park,2022,True,3
Golden Gardens Park,2023,True,9
Golden Gardens Park,2024,False,1
Golden Gardens Park,2024,True,8
Golden Gardens Park,2025,False,4
Golden Gardens Park,2025,True,16
Grand Army of the Republic Cemerary,2020,False,1
Grand Army of the Republic Cemerary,2020,True,1
Grand Army of the Republic Cemetary Park,2016,True,1
Grand Army of the Republic Cemetery,2017,True,2
Grand Army of the Republic Cemetery,2019,True,7
Green Lake Park,2016,True,20
Green Lake Park,2017,True,28
Green Lake Park,2018,True,53
Green Lake Park,2019,False,1
Green Lake Park,2019,True,21
Green Lake Park,2020,False,1
Green Lake Park,2020,True,5
Green Lake Park,2021,False,2
Green Lake Park,2021,True,5
Green Lake Park,2022,True,5
Green Lake Park,2024,True,4
Green Lake Park,2025,True,4
Greenwood Park,2018,True,2
Greenwood Park,2021,True,1
Greenwood Park,2022,True,1
Greenwood Park,2026,True,2
Greenwood park,2019,True,2
Hamilton View point,2017,True,3
Hamilton Viewpoint Park,2016,True,4
Hamilton Viewpoint Park,2017,True,2
Hamilton Viewpoint Park,2018,True,3
Hamilton Viewpoint Park,2020,True,1
Hamilton Viewpoint Park,2021,False,1
Hamilton Viewpoint Park,2021,True,1
Herring House Park,2017,True,2
Herringhouse Park,2017,True,3
Hiawatha Playfield,2016,True,1
Hiawatha Playfield,2017,True,10
Hiawatha Playfield,2018,True,16
Hiawatha Playfield,2019,True,8
Hiawatha Playfield,2020,True,4
Hiawatha Playfield,2021,True,5
Hiawatha Playfield,2023,True,2
Hiawatha Playfield,2024,False,1
Hiawatha Playfield,2024,True,3
Hiawatha Playfield,2025,True,7
High Point Community Playground,2015,True,1
High Point Park,2016,True,2
Highland Park,2024,False,1
Highland Park,2024,True,1
Highland Park,2025,True,1
Highland Park Playground,2021,True,1
Highland Park Playground,2022,True,1
Highland Park Playground,2023,True,2
Highland Park Playground,2024,True,1
Homer Harris,2019,False,1
Homer Harris,2019,True,1
Homer Harris Park,2015,True,3
Hubbard Homestead,2025,True,1
Hutchinson Community Center,2018,True,3
Hutchinson Playground,2021,True,1
Interbay Athletic Complex,2018,True,2
Interbay Athletic Complex,2019,True,1
Interbay Athletic Complex,2021,False,4
Interbay Athletic Complex,2021,True,15
Interbay Athletic Complex,2022,True,2
Interbay Athletic Complex,2024,True,4
Interbay Playfield,2015,True,4
Interbay Playfield,2016,True,10
Interbay Playfield,2018,True,3
Interbay Playfield,2019,True,7
Interlaken Park,2018,True,1
Interlaken Park,2019,False,1
Jack Block - Port,2018,True,1
Jack Block Park,2018,True,2
Jack Block Park,2019,True,5
Jack Block Park,2020,False,2
Jack Block Park,2020,True,2
Jack Block Park,2021,True,1
Jack Block Park,2024,True,2
Jackson Park Perimeter Trail,2017,True,1
James Madison Middle School,2017,True,2
Jefferson Park,2016,True,2
Jefferson Park,2018,True,1
Jefferson Park,2019,True,2
Jefferson Park,2020,False,1
Jefferson Park,2020,True,2
Jefferson Park,2023,True,2
Jefferson Park,2024,True,7
Jefferson Park,2026,False,2
Jefferson Park,2026,True,3
Jefferson Playield,2024,False,1
Jefferson Playield,2024,True,2
Jimi Hendrix Park,2017,True,1
Jimi Hendrix Park,2018,True,1
Jimi Hendrix Park,2019,False,1
Jimi Hendrix Park,2019,True,1
Jimi Hendrix Park,2021,True,1
Jimi Hendrix Park,2024,False,3
Jimi Hendrix Park,2024,True,4
John Rogers,2020,True,2
John Rogers Playfield,2022,True,1
John Rogers Playfield,2023,True,2
John Rogers Playfield Park,2021,True,1
Judkins Park,2015,True,2
Judkins Park,2016,True,4
Judkins Park,2017,True,4
Judkins Park,2018,True,1
Judkins Park,2019,True,3
Judkins Park,2020,True,1
Judkins Park,2021,True,1
Judkins Park,2022,False,1
Judkins Park,2022,True,2
Judkins Park,2023,True,1
Judkins Park,2024,False,2
Judkins Park,2024,True,15
Judkins Park,2025,True,1
Judkins Park,2026,True,1
Kerry Park,2022,False,1
Kerry Park,2022,True,1
Kerry Park,2025,False,7
Kerry Park,2025,True,5
Kinnear Park,2016,True,1
Kinnear Park,2018,True,1
Kinnear Park,2019,True,4
Kinnear Park,2020,True,2
Kinnear Park,2023,True,1
Kirke Park,2023,True,1
Kirke Place,2019,False,1
Kirke Place,2019,True,2
Kobe Terrace Park,2025,True,1
LAke Washington Blvd Park,2016,True,1
Lake WA BLVD Park,2017,True,7
Lake WA Blvd Park,2018,True,1
Lake Washington BLVD Park,2017,True,1
Lake Washington Beach,2021,True,1
Lake Washington Blvd Park,2016,True,1
Lake Washington Blvd Park,2017,True,2
Lake Washington Blvd Park,2018,True,5
Lake Washington Blvd Park,2019,False,1
Lake Washington Blvd Park,2019,True,2
Lake Washington Blvd Parks,2016,True,1
Lake Washington Blvd S,2018,True,2
Lake Washington Boulevard,2019,False,4
Lake Washington Boulevard,2019,True,5
Lake wa Blvd Park,2016,True,1
Lakeridge Park,2019,True,1
Lakeridge Park,2025,True,1
Lakewood Park,2025,True,1
Lakewood Playground,2017,True,1
Lakewood Playground,2023,True,1
Laurelhurst,2021,True,1
Laurelhurst Community Center,2025,True,1
Laurelhurst Park,2018,True,1
Laurelhurst Park,2021,True,1
Laurelhurst Playfield,2015,True,3
Laurelhurst Playfield,2016,True,11
Laurelhurst Playfield,2017,True,5
Laurelhurst Playfield,2018,True,14
Laurelhurst Playfield,2019,True,2
Laurelhurst Playfield,2020,True,2
Laurelhurst Playfield,2021,False,1
Laurelhurst Playfield,2021,True,1
Laurelhurst Playfield,2022,True,2
Laurelhurst Playfield,2023,True,2
Laurelhurst Playfield,2024,True,8
Laurelhurst Playfield,2025,False,1
Laurelhurst Playfield,2025,True,9
Laurelhurst Playfield,2026,False,1
Laurelhurst Playfield,2026,True,4
Lawton Park,2016,True,1
Lawton Park,2017,True,5
Lawton Park,2018,True,2
Lawton Park,2019,False,3
Lawton Park,2019,True,2
Lawton Park,2020,False,1
Lawton Park,2020,True,1
Lawton Park,2021,False,2
Lawton Park,2021,True,3
Lawton Park,2022,True,2
Lawton Park,2024,False,1
Leschi Park,2015,True,5
Leschi Park,2016,True,6
Leschi Park,2018,True,8
Leschi Park,2019,True,4
Leschi Park,2020,True,1
Leschi Park,2024,True,3
Lichton Springs,2023,True,1
Lichton Springs Park,2024,True,1
Licton Spring Park,2025,True,1
Licton Springs Park,2016,True,1
Licton Springs Park,2017,True,2
Licton Springs Park,2019,True,2
Licton Springs Park,2024,True,4
Licton Springs Park,2025,True,3
Lincoln Park,2015,True,4
Lincoln Park,2016,True,32
Lincoln Park,2017,True,34
Lincoln Park,2018,True,28
Lincoln Park,2019,False,6
Lincoln Park,2019,True,33
Lincoln Park,2020,True,8
Lincoln Park,2021,False,3
Lincoln Park,2021,True,16
Lincoln Park,2022,True,4
Lincoln Park,2023,False,1
Lincoln Park,2023,True,3
Lincoln Park,2024,True,7
Lincoln Park,2025,True,2
Lincoln Park,2026,True,2
Lincoln P{ark,2019,True,1
Little Brook Park,2019,True,2
Little Brook Park,2022,True,2
Little brook park,2021,True,1
Lower Genesee Park,2016,True,1
Lowman Beach,2018,True,1
Lowman Beach,2019,True,1
Lowman Beach Park,2017,True,1
Lowman Beach Park,2020,True,3
Lowman Beach Park,2024,False,1
Lowman Beach Park,2024,True,5
Lowman Beach park,2023,True,1
Loyal Heights Playfield,2015,True,6
Loyal Heights Playfield,2016,True,3
Loyal Heights Playfield,2017,True,2
Loyal Heights Playfield,2018,True,2
Loyal Heights Playfield,2019,False,1
Loyal Heights Playfield,2019,True,3
Loyal Heights Playfield,2020,True,2
Loyal Heights Playfield,2021,True,1
Loyal Heights Playfield,2022,False,1
Loyal Heights Playfield,2022,True,1
Loyal Heights Playfield,2023,True,3
Loyal Heights Playfield,2024,False,1
Loyal Heights Playfield,2024,True,11
Loyal Heights Playfield,2025,False,1
Loyal Heights Playfield,2025,True,1
Loyal Heights Playfield,2026,True,1
Loyal Hts Playfield,2017,True,1
Loyal Hts Playfield,2018,True,2
Loyal Hts Playfield,2019,True,3
Madison Beach,2016,True,2
Madison Beach Park,2016,True,3
Madison Middle School,2018,True,6
Madison Middle School Playfield,2018,True,7
Madison Park,2015,True,4
Madison Park,2016,True,1
Madison Park,2017,True,9
Madison Park,2018,True,5
Madison Park,2019,True,3
Madison Park,2020,False,1
Madison Park,2020,True,4
Madison Park,2021,True,3
Madison Park,2022,True,2
Madison Park,2023,False,1
Madison Park,2023,True,2
Madison Park,2024,True,2
Madison Playground,2016,True,2
Madison School Playfield,2018,True,1
Madison School Playfield,2019,True,2
Madison School Playfield,2021,True,1
Madison School Playfield,2022,False,4
Madrona Park,2015,True,1
Madrona Park,2016,True,7
Madrona Park,2017,True,5
Madrona Park,2018,True,4
Madrona Park,2019,True,2
Madrona Park,2021,True,2
Madrona Park,2026,True,4
Magnolia Comunity Center,2016,True,1
Magnolia Manor Park,2019,False,1
Magnolia Park,2016,True,2
Magnolia Park,2025,True,3
Magnolia Park,2026,True,2
Magnolia Playfield,2017,True,1
Magnolia Playfield,2018,True,1
Magnolia Playfield,2019,True,7
Magnolia Playfield,2020,True,2
Magnolia Playfield,2021,True,3
Magnuson Park,2015,True,17
Magnuson Park,2016,True,78
Magnuson Park,2017,True,37
Magnuson Park,2018,True,81
Magnuson Park,2019,False,5
Magnuson Park,2019,True,44
Magnuson Park,2020,False,3
Magnuson Park,2020,True,21
Magnuson Park,2021,False,1
Magnuson Park,2021,True,3
Magnuson Park,2022,True,5
Magnuson Park,2023,False,2
Magnuson Park,2023,True,30
Magnuson Park,2024,False,2
Magnuson Park,2024,True,26
Magnuson Park,2025,True,14
Magnuson Park,2026,True,11
Magnussen Park,2021,True,1
Maple Leaf Reservoir Park,2016,True,12
Maple Leaf Reservoir Park,2017,True,21
Maple Leaf Reservoir Park,2018,True,33
Maple Leaf Reservoir Park,2019,False,1
Maple Leaf Reservoir Park,2019,True,29
Maple Leaf Reservoir Park,2020,True,4
Maple Leaf Reservoir Park,2021,False,4
Maple Leaf Reservoir Park,2021,True,10
Maple Leaf Reservoir Park,2022,False,1
Maple Leaf Reservoir Park,2022,True,7
Maple Leaf Reservoir Park,2023,False,4
Maple Leaf Reservoir Park,2023,True,25
Maple Leaf Reservoir Park,2024,True,10
Maple Leaf Reservoir Park,2025,False,1
Maple Leaf Reservoir Park,2025,True,7
Maple Leaf Reservoir Park,2026,True,4
Maple Wood Park,2018,True,1
Maple Wood Playfield,2018,True,1
Maple Wood Playfield,2023,True,2
Maple Wood Playfiled,2020,True,1
Maple-leaf Reservoir Park,2017,True,1
Mapleleaf Reservoir Playfield,2018,True,3
Maplewood Playfield,2018,True,1
Maplewood Playfield,2020,True,1
Maplewood Playground,2019,True,2
Marshall Park,2019,False,2
Marshall Park,2019,True,1
Marshall Reserve,2018,True,1
Martha WA Park,2017,True,1
Martha Washington Park,2015,True,16
Martha Washington Park,2016,True,52
Martha Washington Park,2017,True,17
Martha Washington Park,2019,False,3
Martha Washington Park,2019,True,22
Martha Washington Park,2020,True,9
Martha Washington Park,2021,False,1
Martha Washington Park,2021,True,6
Martha Washington Park,2022,True,3
Martha Washington Park,2023,True,7
Martha Washington Park,2024,False,5
Martha Washington Park,2024,True,10
Martha Washington Park,2025,True,7
Martha Washinton,2018,True,4
Martin Luther King Jr,2018,True,1
Matthew's Beach Park,2019,True,2
Matthews Beach Park,2015,True,4
Matthews Beach Park,2016,True,7
Matthews Beach Park,2017,True,3
Matthews Beach Park,2018,True,1
Matthews Beach Park,2019,True,1
Matthews Beach Park,2020,False,1
Matthews Beach Park,2020,True,5
Matthews Beach Park,2021,False,1
Matthews Beach Park,2021,True,1
Matthews Beach Park,2023,True,1
Matthew’s beach,2020,True,1
Me Kwa Mooks,2021,False,2
Me Kwa Mooks Park,2015,True,1
Me Kwa Mooks Park,2019,True,1
Me Kwa Mooks Park,2020,True,1
Me Kwa Mooks Park,2021,True,3
Me-Kwa Mooks,2024,True,1
Me-Kwa-Mooks,2016,True,1
Me-Kwa-Mooks,2021,True,1
Me-Kwa-Mooks Natural Area,2020,True,1
Me-Kwa-Mooks Natural Area,2021,True,1
Me-Kwa-Mooks Park,2019,True,3
Me-Kwa-Mooks Park,2020,True,1
Me-Kwa-Mooks Park,2025,False,1
Me-Kwa-Mooks Park,2025,True,1
Meadowbrook Playfield,2015,True,1
Meadowbrook Playfield,2016,True,9
Meadowbrook Playfield,2017,True,1
Meadowbrook Playfield,2018,True,2
Meadowbrook Playfield,2019,False,1
Meadowbrook Playfield,2019,True,2
Meadowbrook Playfield,2020,True,2
Meadowbrook Playfield,2021,True,3
Meadowbrook Playfield,2023,True,3
Meadowbrook Playfield,2024,False,2
Meadowbrook Playfield,2024,True,5
Meadowbrook Playfield,2025,True,3
Medowbrook Pond Park,2016,True,1
Mee Kwa Mooks,2019,False,1
Mee Kwa Mooks,2019,True,2
Mee Kwa Mooks Park,2019,True,1
Mee-Kwa-Mooks,2018,True,1
Mee-Kwa-Mooks Park,2016,True,1
Meridian Park,2016,True,2
Meridian Park,2017,True,2
Meridian Playground,2015,True,2
Meridian Playground,2016,True,18
Meridian Playground,2017,True,18
Meridian Playground,2018,True,11
Meridian Playground,2019,False,1
Meridian Playground,2019,True,13
Meridian Playground,2020,True,6
Meridian Playground,2021,False,1
Meridian Playground,2021,True,5
Meridian Playground,2022,True,2
Meridian Playground,2023,True,3
Meridian Playground,2024,True,8
Meridian Playground,2025,False,1
Meridian Playground,2025,True,1
Meridian Playground,2026,True,1
Miller Community Center,2020,False,2
Miller Community Center,2020,True,3
Miller Playfield,2016,True,6
Miller Playfield,2017,True,2
Miller Playfield,2019,True,1
Miller Playfield,2021,True,5
Miller Playfield,2022,True,1
Miller Playfield,2023,True,1
Miller Playfield,2024,True,7
Mineral Springs,2023,True,1
Montlake Park,2019,False,1
Montlake Park,2019,True,3
Montlake Park,2022,True,1
Montlake Playfield,2016,True,6
Montlake Playfield,2017,True,1
Montlake Playfield,2018,True,4
Montlake Playfield,2019,False,3
Montlake Playfield,2019,True,7
Montlake Playfield,2020,True,5
Montlake Playfield,2021,False,1
Montlake Playfield,2021,True,11
Montlake Playfield,2024,True,2
Montlake Playfield,2026,True,1
Mount Baker Park,2016,True,1
Mount Baker Park,2018,True,2
Mount Baker Park,2021,False,2
Mount Baker Park,2021,True,7
Mountlake Community Center,2021,True,1
Myrtle Edwards Park,2015,True,1
Myrtle Edwards Park,2016,True,3
Myrtle Edwards Park,2017,True,14
Myrtle Edwards Park,2018,True,6
Myrtle Edwards Park,2019,False,1
Myrtle Edwards Park,2019,True,23
Myrtle Edwards Park,2020,True,2
Myrtle Edwards Park,2021,False,3
Myrtle Edwards Park,2021,True,7
Myrtle Edwards Park,2022,False,2
Myrtle Edwards Park,2022,True,1
Myrtle Edwards Park,2023,True,3
Myrtle Edwards Park,2024,True,2
Myrtle Reservoir,2022,True,1
Myrtle Reservoir Park,2025,False,2
Myrtle Reservoir Park,2025,True,3
Myrtle Resevoir Park,2016,True,1
N,2017,True,2
N 41st / Fremont Av N,2017,True,2
NE matthews beach,2017,True,1
NW loyal heights park,2017,True,1
NW salmon bay park,2017,True,2
Nathan Hale playfield,2018,True,1
North Acres Park,2016,True,7
North Leschi Moorage,2015,True,1
North Parks,2019,True,4
Northacres Park,2016,True,1
Northacres Park,2019,True,1
Northacres Park,2021,True,1
Northacres Park,2024,True,2
Observatory Courts,2025,True,1
Othello Playground,2017,True,1
Othello Playground,2019,True,4
Othello Playground,2020,False,1
Othello Playground,2020,True,3
Othello Playground,2025,False,5
Othello Playground,2025,True,2
P O Box 17490,2014,True,1
P O Box 23312,2014,True,1
Parks Central,2019,True,1
Peppi's Playground,2019,True,3
Peppi's Playground,2021,True,2
Peppi's Playground,2023,True,1
Pigeon Point Park,2022,False,4
Pinehurst Playfield,2021,True,1
Pinehurst Playground,2018,True,5
Pinehurst Playground,2021,True,1
Powell Barnett Park,2019,True,2
Powell Barnett Park,2024,True,2
Pratt Park,2016,True,5
Pratt Park,2017,True,1
Pratt Park,2018,True,4
Pratt Park,2019,False,1
Pratt Park,2019,True,7
Pritchard Beach,2016,True,1
Pritchard Beach,2017,True,1
Pritchard Beach,2019,True,1
Pritchard Beach Park,2020,True,1
Pritchard Island Beach,2019,True,1
Puget Park,2022,True,8
Queen Anne Bowl Playfield,2019,True,2
Queen Anne Bowl Playfield,2021,True,4
Queen Anne Bowl Playfield,2024,True,3
Queen Anne Bowl Playfield,2025,True,1
Queen Anne Community Center,2016,True,1
Queen Anne Playfield,2016,True,3
Rainier Beach Playfield,2023,False,1
Rainier Beach Playfield,2023,True,1
Rainier Playfield,2019,False,1
Rainier Playfield,2019,True,6
Rainier Playfield,2020,True,1
Rainier Playfield,2023,True,1
Rainier Playfield,2025,True,1
Ravenna Eckstein,2017,True,1
Ravenna Eckstein Park,2017,True,4
Ravenna Eckstein Park,2020,True,2
Ravenna Park,2015,True,2
Ravenna Park,2016,True,5
Ravenna Park,2017,True,20
Ravenna Park,2018,True,13
Ravenna Park,2019,False,5
Ravenna Park,2019,True,25
Ravenna Park,2020,True,6
Ravenna Park,2021,True,5
Ravenna Park,2022,True,1
Ravenna Park,2023,True,2
Ravenna Park,2024,True,2
Ravenna Park,2025,True,5
Ravenna Park,2026,True,2
Ravenna-Eckstein Park,2017,True,3
Ravenna-Eckstein Park,2021,False,1
Ravenna-Eckstein Park,2021,True,3
Ravenna-Eckstein Park,2024,True,1
Ravenna-Eckstein Park,2025,True,1
River View Park,2019,True,2
Riverview Playfield,2018,True,1
Riverview Playfield,2019,True,7
Riverview Playfield,2020,True,2
Riverview Playfield,2021,False,1
Riverview Playfield,2021,True,5
Riverview Playfield,2022,True,6
Riverview Playfield,2023,False,5
Riverview Playfield,2023,True,7
Riverview Playfield,2025,False,2
Riverview Playfield,2025,True,5
Roanoke Park,2016,True,1
Roanoke Park,2021,True,1
Roanoke park,2025,True,1
Robert Eagle Staff Middle School,2023,False,1
Rodgers Park,2018,True,2
Rodgers Playground,2016,True,6
Roger's Playfield,2019,True,1
Rogers Playfield,2018,True,4
Rogers Playfield,2019,True,1
Rogers Playfield,2020,True,1
Rogers Playfield,2024,True,2
Rogers Playground,2015,True,6
Rogers Playground,2016,True,5
Rogers Playground,2017,True,2
Rogers Playground,2018,True,13
Rogers Playground,2019,False,4
Rogers Playground,2019,True,39
Rogers Playground,2021,False,1
Rogers Playground,2021,True,10
Rogers Playground,2022,True,3
Rogers Playground,2023,True,2
Rogers Playground,2024,False,2
Rogers Playground,2024,True,5
Rogers Playground,2025,True,4
Ross Park,2016,True,3
Ross Park,2024,True,5
Ross Park Playfield,2024,True,1
Ross Playground,2016,True,3
Ross Playground,2017,True,5
Ross Playground,2018,True,5
Ross Playground,2019,False,2
Ross Playground,2019,True,7
Ross Playground,2020,True,3
Ross Playground,2021,False,1
Ross Playground,2021,True,4
Ross Playground,2023,True,1
Ross Playground,2025,True,1
Roxhill Park,2018,True,1
Roxhill Park,2020,True,1
Roxhill Park,2021,True,1
SOUND VIEW PLAYFIELD,2025,True,1
Salmon Bay Park,2015,True,1
Salmon Bay Park,2016,True,10
Salmon Bay Park,2017,True,9
Salmon Bay Park,2018,True,5
Salmon Bay Park,2019,True,5
Salmon Bay Park,2020,False,1
Salmon Bay Park,2020,True,5
Salmon Bay Park,2021,False,2
Salmon Bay Park,2021,True,2
Salmon Bay Park,2022,True,2
Salmon Bay Park,2023,True,2
Salmon Bay Park,2024,False,2
Salmon Bay Park,2024,True,11
Salmon Bay Park,2025,True,4
Sam Smith Park,2019,False,2
Sam Smith Park,2019,True,2
Sam Smith Park,2022,True,5
Sam Smith Park,2025,True,1
Sandel Playground,2015,True,2
Sandel Playground,2016,True,1
Sandel Playground,2017,True,6
Sandel Playground,2018,True,1
Sandel Playground,2019,False,3
Sandel Playground,2019,True,26
Sandel Playground,2020,True,6
Sandel Playground,2021,False,1
Sandel Playground,2021,True,4
Sandel Playground,2022,True,2
Sandel Playground,2023,True,2
Sandel Playground,2024,False,1
Sandel Playground,2024,True,4
Sandel Playground,2025,False,2
Sandel Playground,2025,True,2
Schmitz Preserve Park,2016,True,6
Schmitz Preserve Park,2017,True,5
Schmitz Preserve Park,2018,True,2
Schmitz Preserve Park,2019,False,1
Schmitz Preserve Park,2019,True,10
Schmitz Preserve Park,2021,False,2
Schmitz Preserve Park,2024,True,1
Seattle Center,2018,True,1
Seattle Center,2023,False,5
Seward Park,2015,True,5
Seward Park,2016,True,18
Seward Park,2017,True,20
Seward Park,2018,True,24
Seward Park,2019,False,5
Seward Park,2019,True,26
Seward Park,2020,True,10
Seward Park,2021,False,1
Seward Park,2021,True,11
Seward Park,2022,True,1
Seward Park,2023,True,3
Seward Park,2024,False,1
Seward Park,2024,True,7
Seward Park,2025,True,3
Seward Park,2026,True,4
Smith Cove Park,2017,True,10
Smith Cove Park,2018,True,13
Smith Cove Park,2019,True,3
Smith Cove Park,2021,False,2
Smith Cove Park,2021,True,7
Smith Cove Park,2022,True,1
Smith Cove Park,2023,False,1
Smith Cove Park,2023,True,3
Smith Cove Park,2024,True,2
Solstice Park,2021,True,2
Solstice Park,2022,True,1
Solstice Park,2026,True,1
Sound View Playfield,2020,True,1
Sound View Playfield,2021,False,1
Sound View Playfield,2021,True,6
Soundview Park,2016,True,1
Soundview Park,2018,True,3
Soundview Park,2019,True,3
Soundview Park,2024,False,1
Soundview Park,2024,True,5
Soundview Playfield,2016,True,20
Soundview Playfield,2017,True,11
Soundview Playfield,2018,True,13
Soundview Playfield,2019,False,5
Soundview Playfield,2019,True,16
Soundview Playfield,2020,True,3
Soundview Playfield,2021,True,8
Soundview Playfield,2022,True,1
Soundview Playfield,2023,False,2
Soundview Playfield,2023,True,17
Soundview Playfield,2024,True,15
Soundview Playfield,2025,True,4
Soundview Playground,2021,True,5
South Lake Union Park,2018,True,1
South Park CC,2018,True,2
South Park Playground,2021,True,1
South Parks,2019,False,1
South Parks,2019,True,5
Southwest Park Patrols,2020,True,6
Southwest Parks,2019,True,1
Stan Sayers,2019,True,1
Stan Sayres Memorial Park,2016,True,1
Stan Sayres Memorial Park,2018,True,1
Sunset Hill Hill Park,2019,True,1
T T Minor,2021,True,1
T T Minor Playground,2024,True,1
T. T. Minor,2022,True,1
TT Minor Playground,2015,True,7
TT Minor Playground,2016,True,12
TT Minor Playground,2017,True,11
TT Minor Playground,2018,True,1
TT Minor Playground,2019,False,1
TT Minor Playground,2019,True,12
TT Minor Playground,2020,True,3
TT Minor Playground,2021,True,3
TT Minor Playground,2022,True,7
TT Minor Playground,2026,True,1
Tashkent Park,2016,True,2
Tashkent Park,2019,True,1
Thornton Creek Elementary School,2023,False,1
Thornton Creek Elementary School,2023,True,1
Trolley Hill Park,2024,True,1
University Playfield,2017,True,1
University Playfield,2019,True,1
University Playfield,2021,True,1
University Playground,2019,True,1
Upper View Ridge Park,2016,True,2
Upper Woodland Park,2016,True,2
Ursula Judkins Viewpoint,2024,True,2
Van Asselt Playfield,2022,True,1
Van Asselt Playfield,2024,True,1
Van Asselt Playground,2021,False,1
Van Asselt Playground,2021,True,1
Van Asselt Playground,2022,True,1
Victor Steinbruek Park,2020,True,1
View Ridge Park,2023,True,3
View Ridge Playfield,2016,True,1
View Ridge Playfield,2017,True,3
View Ridge Playfield,2018,True,3
View Ridge Playfield,2019,True,1
View Ridge Playfield,2021,True,1
View Ridge Playfield,2022,True,1
View Ridge Playfield,2023,True,2
View Ridge Playfield,2024,True,4
View Ridge Playfield Park,2024,False,1
View Ridge Playfield Park,2024,True,3
View Ridge Playfield Park,2025,True,5
