park,year,dlp_only,citations
2409 E Aloha Street,2015,True,1
2410 S Washington Street,2015,True,1
2417 2nd Avenue W,2014,True,1
2430 SW Holden Street A,2015,True,1
2442 NW Market Street 140,2014,True,1
2442 NW Market Street 140,2015,True,1
2450 NW 61st Street,2014,True,1
2506 32nd Avenue W 5,2014,True,1
2516 3rd Avenue W,2014,True,1
2518 34th Avenue W,2017,True,4
2526 W McGraw Street,2014,True,1
2559 24th Avenue W,2015,True,1
2563 24th Avenue W,2015,True,1
2572 Gilman Drive W 214,2015,True,1
2599 Crestmont Place W,2015,True,1
2601 W smith st,2024,True,1
2632 Alki Avenue SW,2014,True,2
2641 NW 57th Street,2015,True,1
2644 NW 60th Street,2019,True,1
2700 W Galer Street,2015,True,1
2701 Dabob Road,2015,True,1
2711 S Lane Street,2015,True,1
2716 3rd Avenue N,2015,True,1
2750 NE 90th Street,2014,True,1
2800 1st Avenue W,2018,True,3
2800 Western Avenue 101,2014,True,1
2801 Western Avenue 705,2014,True,1
2801 Western Avenue 935,2014,True,1
2804 NW 93rd Street,2014,True,1
2806 1st Avenue W,2015,True,1
2846 32nd Avenue S,2015,True,1
2848 NW 94th Street,2016,True,1
2912 Beacon Avenue S,2015,True,1
2921 16th Avenue S,2014,True,1
2966 36th Avenue S,2015,True,1
3000 California Avenue SW,2017,True,2
3000 California Avenue SW,2018,True,5
3002 Cascadia Avenue S,2014,True,1
3011 37th Avenue W,2015,True,1
3018 S Andover Street,2015,True,1
3023 Beacon Avenue S,2015,True,1
3025 NW 68th Street,2016,True,1
3036 16th Avenue W 220,2014,True,1
3036 16th Avenue W 220,2015,True,1
3040 17TH Avenue W 319,2014,True,1
3040 17th Avenue W 016,2015,True,1
3040 17th Avenue W 403,2015,True,1
305 Harrison Street,2022,False,6
306 Bellevue Avenue E,2017,True,1
310 Aloha Street 7,2014,True,1
310 W Olympic Place,2014,True,1
3100 Lakewood Boulevard S,2015,True,1
3114 24th Avenue S,2015,True,1
3114 37th Place S,2015,True,1
312 Howe Street,2014,True,1
3130 Alaskan Way,2017,True,1
3150 NE 105th Street,2019,True,1
3213 W Wheeler Street 168,2015,True,1
3213 W Wheeler Street 78,2015,True,1
3216 21st Avenue S,2015,True,3
3221 Franklin Avenue E B,2015,True,1
3233 E Spruce Street,2016,True,1
3240 W Viewmont Way W,2014,True,1
3241 57th Avenue SW,2015,True,1
3244 NE 104th Street,2014,True,1
326 24th Avenue E,2015,True,1
329 Decatur Street NW,2014,True,1
32nd ave w boat launch,2024,True,2
330 19th Avenue E,2016,True,1
3301 Lakewood Avenue S,2015,True,1
3301 W Government Way,2014,True,1
3312 39th Avenue W,2014,True,1
333 M L King Jr Way,2014,True,1
333 Pontius Avenue N,2018,True,1
340 NE 58th Street,2015,True,1
3426 34th Avenue W B,2015,True,1
3429 45th Avenue SW,2017,True,1
3500 28th Ave W,2025,False,1
3500 28th Ave W,2025,True,1
3517 W Dravus Street,2015,True,2
3520 27th Place W 121,2015,True,1
354 NE 59th Street,2014,True,1
354 NE 59th Street,2018,True,1
3552 S Hudson Street,2014,True,1
3605 Magnolia Boulevard W,2014,True,1
3609 SW Juneau Street,2014,True,1
361 W Crockett Street,2015,True,1
3660 Phinney Avenue N 5,2015,True,1
368 NE 89th Street,2015,True,1
3703 39th Avenue SW,2014,True,1
3800 35th Avenue W B,2014,True,1
3800 SW Findlay Street,2016,True,1
3801 155th Place SE,2015,True,1
3801 Discovery Park Boulevard,2017,True,6
3801 Discovery Park Boulevard,2020,True,2
3801 Discovery Park Boulevard W,2017,True,2
3811 NE 41st Street,2014,True,1
3821 25th Avenue W,2014,True,1
3822 43rd Avenue NE,2015,True,1
3827 42nd Avenue S,2015,True,1
3828 Bagley Avenue N,2014,True,1
3848 25th Avenue W,2015,True,1
3900 S Thistle Street,2019,False,1
3926 42nd Avenue S,2015,True,1
4005 27th Avenue W,2018,True,2
4020 Fremont Avenue N,2016,True,1
4021 48th Avenue S,2014,True,1
4021 48th Avenue S,2015,True,1
4024 NE 125th Street,2014,True,1
4027 43rd Avenue S,2015,True,1
4035 Whitman Avenue N A,2014,True,1
407 34th Avenue,2014,True,1
407 NE 45th Street 5,2015,True,1
4105 SW Morgan Street,2015,True,1
4111 26th Avenue SW,2017,True,1
4120 48th Avenue S,2015,True,1
4125 38th Avenue S,2015,True,1
4126 49th Avenue S,2015,True,1
413 NE 70th Street 327,2015,True,1
4141 SW Monroe Street,2015,True,2
418 N 63rd Street,2014,True,1
419 SW 121st Court,2014,True,1
4208 Beach Drive SW #201,2015,True,1
4211 46th Avenue S,2015,True,2
4219 Wallingford Avenue N,2017,True,1
4219 Wallingford Avenue N,2018,True,1
422 N 60th Street,2014,True,1
4235 S Bateman Street,2014,True,1
429 20th Avenue E B,2015,True,1
43 Etruria Street 5,2015,True,1
4309 238th Place SW,2015,True,1
4311 S Ferdinand Street,2014,True,1
4312 Evanston Avenue N B,2014,True,1
4312 NE 85th Street,2015,True,1
4316 S Genesee Street,2017,True,4
4316 S Genesee Street,2018,True,4
4351 S Othello St,2023,False,1
4351 S Othello St,2023,True,1
4401 SW Findlay Street,2014,True,1
4417 39th Avenue SW,2014,True,1
4420 46th Avenue S,2014,True,1
4433 47th Avenue S,2015,True,1
4508 S Brandon Street,2015,True,1
4527 55th Avenue NE B,2015,True,1
4544 NE 41st Street,2017,True,1
4544 NE 41st Street,2018,True,1
4559 51st Avenue NE,2014,True,1
4621 48th Avenue S,2014,True,1
4713 NE 47th Street,2015,True,1
4727 S Findlay Street,2015,True,1
4742 47th Avenue SW,2015,True,1
4746 18th Avenue NE,2014,True,1
4746 47th Avenue NE,2014,True,1
4750 39th Avenue S,2014,True,1
4809 238th Street SW,2015,True,1
4816 12th Avenue S,2015,True,1
4820 S Garden Street,2014,True,1
4825 45th Avenue S,2015,True,2
4835 Delridge Way SW,2015,True,1
4841 S Kenny Street,2014,True,1
500 13th Avenue E 308,2014,True,1
5011 Meridian Avenue N,2015,True,1
5019 2nd Avenue NW,2015,True,1
5019 Harold Place NE,2014,True,1
5024 25th Avenue SW,2015,True,1
503 12th Avenue E,2015,True,2
5032 44th Avenue S,2015,True,1
510 E Thomas Street #203,2014,True,1
5100 NE 93rd Street,2016,True,1
5102 S Adams Street,2015,True,1
5105 46th Avenue SW,2014,True,1
515 Lake Washington Boulevard,2014,True,1
518 W Crockett Street,2015,True,1
519 W Roy Street 113,2015,True,1
5200 Fauntleroy Way SW 6,2014,True,1
5237 37th Avenue SW,2014,True,1
5240 University Way NE 610,2015,True,1
5253 37th Avenue SW,2014,True,1
5253 S Fontanelle Place,2014,True,1
5260 18th Avenue SW,2015,True,1
5316 SW Lander Street,2015,True,1
5322 Gross Street,2015,True,1
5331 S 236th Street,2015,True,1
5408 Meridian Avenue N 203,2015,True,1
5418 Fauntleroy Way SW C,2014,True,1
5424 SW Angeline Street,2015,True,1
5433 42nd Avenue W,2015,True,1
5462 Couch Lane,2015,True,1
547 N 74th Street,2014,True,1
549 NE 79th Street,2014,True,1
5505 27th Avenue NE 5,2015,True,1
5511 17th Avenue S,2014,True,1
5520 Ravenna Avenue NE,2017,True,2
5525 S Morgan Street,2015,True,1
5551 SW Admiral Way,2018,True,2
5571 17th Avenue S,2015,True,1
561 3rd Lane,2015,True,1
5652 41st Avenue SW,2014,True,1
567 Highland Drive,2014,True,1
5721 46th Avenue S,2015,True,1
57th Street End,2024,False,1
57th Street End Park,2025,False,2
5801 S Pilgrim Street,2017,True,2
5817 SW Lander Street,2017,True,1
5834 6th Avenue NW,2015,True,1
5900 Lake Washington Boulevard S,2018,True,1
5936 41st Avenue SW,2018,True,9
5963 SW Carroll Street,2015,True,1
6016 35th Avenue NE,2014,True,1
6016 41st Avenue NE,2014,True,1
6020 28th Avenue NW,2018,True,1
6024 Upland Terrace S,2014,True,1
608 22nd Avenue,2015,True,1
6110 28th Avenue NW,2019,False,4
6110 28th Avenue NW,2019,True,8
6173 NE Redford Drive 1623,2015,True,1
621 W Galer Street 208,2014,True,1
