year,bsl_id,bsl_name,master_project_id,master_project_name,adopted_budget_usd,revised_budget_usd,ytd_expenses_usd,encumbrances_usd,available_balance_usd,as_of,provenance
2023,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51002,Improve Dog Off Leash Areas,328345,416256,315049,0,101206,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 1 — see data/prr-responses/C264837/"
2024,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51002,Improve Dog Off Leash Areas,333478,434685,218996,0,215689,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 1 — see data/prr-responses/C264837/"
2025,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51002,Improve Dog Off Leash Areas,1568818,1784507,368398,0,1416109,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 1 — see data/prr-responses/C264837/"
2026,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51002,Improve Dog Off Leash Areas,1574370,2990479,150593,210624,2629261,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 1 — partial year, YTD through 2026-07-07 — see data/prr-responses/C264837/"
2023,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51001,Rejuvenate P-Patches,241216,638631,160092,0,478539,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 2 — see data/prr-responses/C264837/"
2024,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51001,Rejuvenate P-Patches,280865,795954,289418,0,506536,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 2 — see data/prr-responses/C264837/"
2025,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51001,Rejuvenate P-Patches,260899,767435,255766,0,511669,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 2 — see data/prr-responses/C264837/"
2026,BC-PR-50000,Maintaining Parks & Facilities,MC-PR-51001,Rejuvenate P-Patches,271335,783004,84951,0,698053,2026-07-07,"sourced: SPR response to PRR C264837-042426, 15 July 2026 (Gerald Asp), table 2 — partial year, YTD through 2026-07-07 — see data/prr-responses/C264837/"
